topic,ask_type,count
"2,3-DPG",mechanism,1
ABPI Interpretation,other,1
ACE inhibitors,drug_of_choice,1
ACE inhibitors,mechanism,1
ACL injuries,other,1
ADH Action,mechanism,1
ADH Analogs,mechanism,1
ADH mechanism,mechanism,1
ADHD,drug_of_choice,2
ADHD,epidemiology,2
ADHD,diagnosis,1
ADHD,other,1
ADHD medications,drug_of_choice,1
AIDS,diagnosis,3
AIDS,investigation,1
AIDS control programme,other,1
AMH,investigation,1
ANCA vasculitis,diagnosis,2
APGAR Score,diagnosis,1
APGAR scoring,diagnosis,1
ARDS,image_identification,1
ARDS,management,1
ARDS,mechanism,1
ASHA,management,1
ASOM,diagnosis,1
ATLS,management,1
ATP,mechanism,1
AV fistula,mechanism,1
Abdomen,other,74
Abdomen,anatomy_structure,68
Abdomen,diagnosis,8
Abdomen,management,6
Abdomen,mechanism,1
Abdominal Abscesses,anatomy_structure,1
Abdominal Anatomy,anatomy_structure,21
Abdominal Anatomy,image_identification,1
Abdominal Aorta,anatomy_structure,1
Abdominal Aortic Aneurysm,management,4
Abdominal Aortic Aneurysm,epidemiology,1
Abdominal Arteries,anatomy_structure,1
Abdominal CT,anatomy_structure,1
Abdominal CT Interpretation,diagnosis,1
Abdominal Ct,anatomy_structure,1
Abdominal Ct Interpretation,diagnosis,1
Abdominal Emergencies,management,3
Abdominal Imaging,image_identification,11
Abdominal Imaging,diagnosis,2
Abdominal Imaging,investigation,2
Abdominal Imaging,anatomy_structure,1
Abdominal Muscles,anatomy_structure,1
Abdominal Pain,diagnosis,3
Abdominal Pain,management,1
Abdominal Plexuses,anatomy_structure,1
Abdominal Radiograph,image_identification,1
Abdominal Radiography,investigation,1
Abdominal Radiology,image_identification,4
Abdominal Regions,anatomy_structure,3
Abdominal Surgery,anatomy_structure,2
Abdominal Surgery,image_identification,1
Abdominal Vasculature,anatomy_structure,6
Abdominal Vessels,anatomy_structure,4
Abdominal Viscera,anatomy_structure,1
Abdominal Wall Anatomy,anatomy_structure,3
Abdominal Wall Defects,anatomy_structure,1
Abdominal Wall Defects,mechanism,1
Abdominal anatomy,anatomy_structure,6
Abdominal aorta,anatomy_structure,1
Abdominal aortic aneurysm,management,2
Abdominal imaging,image_identification,3
Abdominal imaging,diagnosis,1
Abdominal imaging,investigation,1
Abdominal radiography,investigation,1
Abdominal radiology,image_identification,2
Abdominal regions,anatomy_structure,3
Abdominal surgery,diagnosis,1
Abdominal surgery,image_identification,1
Abdominal vessels,anatomy_structure,4
Abnormal Behavior,other,1
Abnormal Uterine Bleeding,diagnosis,4
Abnormal Uterine Bleeding,management,3
Abnormal Uterine Bleeding,epidemiology,1
Abnormal Uterine Bleeding,investigation,1
Abnormal Uterine Bleeding,other,1
Abnormal uterine bleeding,diagnosis,3
Abnormal uterine bleeding,management,2
Abnormal uterine bleeding,epidemiology,1
Abortion,management,2
Abortion,drug_of_choice,1
Abortion Methods,drug_of_choice,1
Abpi Interpretation,other,1
Abrasion,other,1
Abreaction,other,1
Abruptio Placentae,diagnosis,1
Abruptio placentae,diagnosis,1
Absence Seizure,drug_of_choice,1
Absorption,anatomy_structure,1
Absorption,mechanism,1
Acanthosis Nigricans,diagnosis,1
Acanthosis nigricans,diagnosis,1
Accessory spleen,anatomy_structure,1
Ace Inhibitors,drug_of_choice,1
Ace Inhibitors,mechanism,1
Acetaminophen,management,1
Acetyl CoA Carboxylase,mechanism,1
Acetylcholine,mechanism,2
Achalasia,management,2
Achalasia,diagnosis,1
Achalasia,investigation,1
Acid Base Balance,mechanism,2
Acid Base Balance,other,2
Acid Base Disorders,diagnosis,1
Acid Peptic Disease,mechanism,1
Acid base disorders,diagnosis,1
Acid base disorders,management,1
Acid base disorders,other,1
Acid-Base Balance,diagnosis,15
Acid-Base Balance,mechanism,5
Acid-Base Balance,other,1
Acid-Base Disorders,diagnosis,8
Acid-Base Disorders,mechanism,3
Acid-Base Disorders,management,1
Acid-Base Disorders / Calcium Metabolism,other,1
Acid-base balance,mechanism,2
Acid-base balance,diagnosis,1
Acid-base balance,other,1
Acid-base disorders,diagnosis,3
Acid-base disorders,management,1
Acid-base disorders,mechanism,1
Acidosis,diagnosis,1
Acl Injuries,other,1
Acne,management,3
Acne,diagnosis,2
Acne,drug_of_choice,1
Acne,mechanism,1
Acne Management,drug_of_choice,1
Acne Vulgaris,drug_of_choice,1
Acne Vulgaris,mechanism,1
Acne vulgaris,drug_of_choice,1
Acneiform Disorders,management,1
Acneiform disorders,management,1
Acoustic Neuroma,anatomy_structure,1
Acquired Inflammatory Skin Rashes,diagnosis,1
Acquired inflammatory skin rashes,diagnosis,1
Acral lentiginous melanoma,epidemiology,1
Acrodermatitis Enteropathica,diagnosis,1
Acrodermatitis enteropathica,diagnosis,1
Acromegaly,drug_of_choice,1
Acromegaly,epidemiology,1
Acromegaly Management,drug_of_choice,1
Acromegaly management,drug_of_choice,1
Actinomycosis,diagnosis,2
Actinomycosis,image_identification,1
Actinomycosis,mechanism,1
Action potential,image_identification,1
Action potentials,mechanism,2
Active Transport,mechanism,2
Active Transport,other,1
Acute Chest Pain Evaluation,investigation,1
Acute Coronary Syndrome,management,1
Acute Cystitis,investigation,1
Acute HIV syndrome,diagnosis,1
Acute Heart Failure,management,1
Acute Kidney Injury,diagnosis,2
Acute Kidney Injury,investigation,2
Acute Kidney Injury,other,1
Acute Leukemia,mechanism,2
Acute Leukemia,diagnosis,1
Acute Leukemia,management,1
Acute Leukemia,other,1
Acute Leukemias,diagnosis,2
Acute Liver Failure,investigation,1
Acute Lung Injury,mechanism,1
Acute Lymphoblastic Leukemia,diagnosis,1
Acute Metabolic Emergencies,management,1
Acute Pancreatitis,diagnosis,4
