topic,concept,count,years
"2,3-DPG","CPD preserves 2,3-DPG",1,2020
ABPI Interpretation,ABPI artificial increase causes,1,2017
ACE inhibitors,ACE inhibitor bradykinin effect,1,2015
ACE inhibitors,ACE inhibitor renal safety,1,2015
ACL injuries,ACL injury facts,1,2016
ADH Action,ADH aquaporin 2 action,1,2019
ADH Analogs,Desmopressin advantages over vasopressin,1,2012
ADH mechanism,ADH action on aquaporin 2,1,2019
ADHD,ADHD and binge eating,1,2021
ADHD,ADHD conduct disorder association,1,2019
ADHD,Atomoxetine indication,1,2014
ADHD,Minimal brain dysfunction association,1,2017
ADHD,Minimal brain dysfunction syndrome,1,2018
ADHD,Stimulants for ADHD,1,2012
ADHD medications,ADHD SNRI drug,1,2022
AIDS,AIDS seizure cause,1,2014
AIDS,Infant AIDS,1,2013
AIDS,Most common AIDS pulmonary TB,1,2014
AIDS,PCP BAL diagnosis,1,2014
AIDS control programme,3 by 5 initiative,1,2014
AMH,Low AMH ovarian reserve,1,2019
ANCA vasculitis,ANCA positive pulmonary hemorrhage,1,2019
ANCA vasculitis,Microscopic polyangiitis ANCA vasculitis,1,2019
APGAR Score,APGAR score 3 interpretation,1,2019
APGAR scoring,APGAR score 1,1,2013
ARDS,ARDS IL-8 role,1,2024
ARDS,ARDS in acute pancreatitis chest X-ray,1,2015
ARDS,Severe ARDS lung-protective ventilation,1,2025
ASHA,ASHA remuneration exceptions,1,2015
ASOM,Light house sign in ASOM stage of suppuration,1,2015
ATLS,ATLS primary survey elements,1,2020
ATP,ATP immediate energy source,1,2013
AV fistula,AV fistula arterialization,1,2014
Abdomen,Abdominal ligament identification,1,2018
Abdomen,Alvarado appendicitis scoring,1,2013
Abdomen,Anal canal dimensions,1,2013
Abdomen,Aspiration risk in full stomach pregnancy,1,2014
Abdomen,B cells in white pulp,1,2013
Abdomen,Bare area of liver,1,2014
Abdomen,Billroth cords location,1,2013
Abdomen,Calot's triangle anatomical boundaries,1,2019
Abdomen,Caudate lobe dual arterial supply,1,2016
Abdomen,Caudate lobe segment I,1,2013
Abdomen,Cholecystocaval line function,1,2019
Abdomen,Coeliac trunk arterial branches,1,2012
Abdomen,Collecting system ureteric bud origin,1,2013
Abdomen,Dorsal and ventral mesentery,1,2018
Abdomen,Duodenum third fourth part anatomy,1,2015
Abdomen,Duodenum third part relations,1,2015
Abdomen,Earliest sign of renal TB,1,2014
Abdomen,"External oblique forms inguinal ligament, not pectineal",1,2014
Abdomen,Falciform ligament contents,1,2014
Abdomen,Falciform ligament liver lobe demarcation,1,2014
Abdomen,Fixed colonic segments,1,2015
Abdomen,Foramen of Winslow boundaries,1,2015
Abdomen,Free air under diaphragm,1,2013
Abdomen,Gallbladder boundary identification,1,2019
Abdomen,Gastrophrenic ligament dorsal mesogastrium,1,2014
Abdomen,Gastrosplenic ligament anatomy,1,2014
Abdomen,Greater curvature lymph drainage,1,2016
Abdomen,Greater omentum comprises four layers,1,2016
Abdomen,Greater omentum origin,1,2018
Abdomen,Hepatic biopsy safe interspace,1,2012
Abdomen,Hesselbach triangle boundary,1,2015
Abdomen,Inferior mesenteric artery branch,1,2012
Abdomen,Inferior vena cava obstruction,1,2012
Abdomen,Inguinal canal openings boundaries,1,2018
