topic,concept,count
Achalasia,Heller's myotomy indication,2
Acid-Base Disorders,ABG interpretation respiratory acidosis,2
Acute Leukemia,APL t(15;17) translocation,2
Acute Pancreatitis,Flank ecchymosis in pancreatitis,2
Aldosterone Regulation,Aldosterone synthesis stimulation,2
Allergic Bronchopulmonary Aspergillosis,ABPA clinical features,2
Amino Acid Metabolism,Homocystinuria vitamin B6 therapy,2
Amino Acid Metabolism,Ochronosis homogentisic acid accumulation,2
Amino Acid Metabolism,Phenylketonuria enzyme deficiency,2
Antenatal Care,Ovarian ectopic pregnancy criteria,3
Antenatal Care,Acute fatty liver pregnancy timing,2
Antenatal Care,Luteoma of pregnancy features,2
Antenatal Care,Methotrexate for ectopic pregnancy,2
Antenatal Care,Pregnancy nerve compression,2
Antifungal Drugs,Amphotericin B site of action,2
Anxiety & OCD,GAD drug of choice,2
Anxiolytics,5-HT1A partial agonism,2
Bacteriology,Burkholderia cepacia drug resistance,2
Bacteriology,non-motile bacterium identification,2
Biomedical Waste Management,Cytotoxic drug disposal method,2
Carbohydrate Metabolism,Terminal alcohol oxidation,2
Cardiogenic Shock,Cardiogenic shock non-MI causes,2
Cardiology,Aortic arch embryonic development,2
Cardiology,HOCM sudden cardiac death,2
Cardiology,Left axis deviation,2
Cardiology,Nifedipine reflex tachycardia,2
Cardiology,Nitric oxide cGMP pathway,2
Cardiomyopathies,Myocardial stunning non-coronary pattern,2
Cell Injury & Death,Execution caspases apoptosis,2
Clinical Signs,Roth spots association,2
Communicable Diseases,Kala-azar endemic regions India,2
Community Health Workers,ASHA worker duties,3
Congenital Uterine Anomalies,Uterine anomaly HSG identification,2
Contraception,IUD absolute contraindications,3
Contraception,sterilization eligibility,3
Contraception,Tubectomy isthmus site,2
Contraception,fimbriectomy method,2
Copper Metabolism,Wilson disease investigation,2
Cornea & Refractive,Fungal corneal ulcer satellite lesions,2
Culture Media,Blood agar enriched media,2
Delusional Disorders,Erotomania love delusion,2
Delusional Disorders,Subjective double syndrome,2
Demographic Cycle,"Demographic transition stages, MMR calculation",4
Demography & Family Planning,Net reproduction rate definition,2
Diabetic Ketoacidosis (Dka),Pediatric DKA management,2
