topic_clean,count
Infectious Diseases,353
Cardiology,338
Vitamins & Nutrition,297
Pulmonology,290
Neoplasia,270
Bacteriology,244
Hematopathology,236
Antenatal Care,223
Epidemiology,221
Virology,220
Fractures,206
Renal,195
Thanatology,170
Gastrointestinal,170
Genetics & Molecular Biology,169
Inflammation & Healing,167
Embryology,157
Lipid Metabolism,147
Growth & Development,146
Carbohydrate Metabolism,146
Thorax,141
Parasitology,140
Toxicology,137
Endocrinology,135
Trauma,135
Neurology,134
Immunology,133
Neuroanatomy,127
Upper Limb,120
Abdomen,111
Cornea & Refractive,110
Head & Neck,107
Lower Limb,103
Retina,100
Breast & Endocrine Surgery,97
Reproductive,93
Vascular,93
Endocrine,91
Histology,89
Gastroenterology,83
Immunization,82
Mycology,82
Lens & Cataract,81
Labor & Delivery,81
Enzymology,79
Glaucoma,78
Head And Neck,74
Nephrology,74
Otology,71
Cell Injury & Death,70
Rheumatology,70
Obstetric Complications,64
Neurophysiology,63
Gynecologic Oncology,63
Immunopathology,62
Medical Jurisprudence,60
Biostatistics,59
Joints & Arthritis,56
Contraception,54
Neonatology,54
Amino Acid Metabolism,50
Airway Management,50
Urology,50
Tuberculosis,49
Antimicrobials,48
Schizophrenia & Psychosis,44
National Health Programs,43
Nose & PNS,41
Cranial Nerves,41
Demography & Family Planning,41
Pharmacokinetics,39
Environmental Health,39
Throat & Larynx,38
Protein Metabolism,38
Autonomic,37
Infertility,35
Endocrine Pharmacology,35
Inborn Errors Of Metabolism,35
Mood Disorders,34
Uveitis,33
Gastrointestinal Surgery,32
Spine,32
Hernia & Abdominal Wall,32
Environment & Occupational Health,29
Personality Disorders,29
Peripheral Nerves,28
Vaccines,27
Health Care Delivery,27
Vasculitis,27
Burns & Plastic,26
Ear,26
Dermatology,26
Inhalational Anaesthetics,25
Biomedical Waste Management,25
Strabismus,25
Otitis Media,25
Genetic Disorders,24
X-ray,24
Malaria,24
Disaster Management,24
Neuro-ophthalmology,24
Audiology,24
Orbit,24
Local Anaesthetics,23
Refractive Errors,23
Muscle Physiology,22
Pneumonia,22
Lymphoma,22
Diuretics,20
Neuromuscular Blocking Agents,20
Head And Neck Anatomy,20
Metabolic Disorders,20
Delusional Disorders,20
Pelvis & Perineum,20
Identification,19
Immunodeficiency,19
Pharynx,19
Glomerular Diseases,19
Rhinology,19
Pelvic Anatomy,19
Leprosy,19
Chemotherapy & Anticancer,19
Sexual Offences,18
Endometriosis,18
Child Psychiatry,18
Screening,17
Communicable Diseases,17
Health Indicators,17
Anticoagulants,17
Antidiabetic Drugs,17
Urea Cycle,17
Mania,17
Drowning,17
Vestibular Disorders,17
Adverse Drug Reactions,17
Antimalarial Drugs,16
Ballistics,16
Hiv/Aids,16
Anxiety & OCD,16
Esophageal Disorders,16
Uterine Anomalies,16
Scabies,15
Radiation Physics,15
Regional Anaesthesia,15
Brachial Plexus,15
Chlamydia,15
Lacrimal Apparatus,15
Valvular Heart Disease,15
Age Estimation,15
Lysosomal Storage Disorders,15
Postpartum Hemorrhage,15
Psychotic Disorders,14
Uterine Prolapse,14
Purine Metabolism,14
Lymphatic System,14
Maternal And Child Health,14
Metabolic Bone Disease,14
Neuromuscular Blockers,14
Antidepressants,14
