topic,primary_subject,question_count,years_seen,year_list,recurrence,recent_count,years_since_last,due_for_return,importance_score,priority_band
Reproductive,Physiology,183,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.938,17,1,True,86.6,Must
Urology,Surgery,108,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.938,11,1,True,86.6,Must
Lower Limb,Anatomy,136,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,21,0,False,86.5,Must
Neoplasia,Pathology,451,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,64,0,False,86.4,Must
Inflammation & Healing,Pathology,315,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,45,0,False,86.4,Must
Gastrointestinal Surgery,Surgery,59,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,8,0,False,86.4,Must
Neurology,Medicine,317,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,38,0,False,86.2,Must
Genetics & Molecular Biology,Biochemistry,330,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,35,0,False,86.1,Must
Endocrinology,Medicine,293,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,33,0,False,86.1,Must
Trauma,Surgery,277,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,31,0,False,86.1,Must
Toxicology,Forensic Medicine,214,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,23,0,False,86.1,Must
Cardiology,Medicine,619,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,63,0,False,86.0,Must
Hematopathology,Pathology,451,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,43,0,False,86.0,Must
Thanatology,Forensic Medicine,358,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,35,0,False,86.0,Must
Antimicrobials,Pharmacology,86,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.938,3,1,True,86.0,Must
Emergency Medicine,Medicine,84,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,8,0,False,86.0,Must
General Medicine,Medicine,418,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,36,0,False,85.9,Must
Obstetric Complications,OBG,347,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,30,0,False,85.9,Must
Renal,Physiology,296,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,28,0,False,85.9,Must
Gastroenterology,Medicine,211,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,18,0,False,85.9,Must
Breast & Endocrine Surgery,Surgery,162,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,15,0,False,85.9,Must
Pulmonology,Physiology,500,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,42,0,False,85.8,Must
Vitamins & Nutrition,Biochemistry,407,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,31,0,False,85.8,Must
Growth & Development,Pediatrics,242,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.938,5,1,True,85.8,Must
Infectious Diseases,Microbiology,747,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,52,0,False,85.7,Must
Neuroanatomy,Anatomy,557,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,38,0,False,85.7,Must
Systemic Pathology,Pathology,408,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,28,0,False,85.7,Must
Bacteriology,Microbiology,406,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,28,0,False,85.7,Must
Neonatology,Pediatrics,400,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,29,0,False,85.7,Must
Gastrointestinal,Physiology,267,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,20,0,False,85.7,Must
Carbohydrate Metabolism,Biochemistry,264,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,18,0,False,85.7,Must
Immunology,Microbiology,264,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,19,0,False,85.7,Must
Vascular,Surgery,193,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,14,0,False,85.7,Must
Rheumatology,Medicine,147,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,11,0,False,85.7,Must
Epidemiology,Community Medicine,677,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,39,0,False,85.6,Must
Microbiology,Microbiology,504,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,31,0,False,85.6,Must
Dermatology,Dermatology,324,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,18,0,False,85.6,Must
Endocrine Pharmacology,Pharmacology,632,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,33,0,False,85.5,Must
Virology,Microbiology,307,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,15,0,False,85.5,Must
Gynecologic Oncology,OBG,273,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,15,0,False,85.5,Must
Environment & Occupational Health,ENT,229,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,12,0,False,85.5,Must
Nephrology,Medicine,132,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,7,0,False,85.5,Must
Upper Limb,Anatomy,203,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,9,0,False,85.4,Must
Squint & Pediatric Ophthalmology,Ophthalmology,188,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,8,0,False,85.4,Must
Child Psychiatry,Psychiatry,278,16,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1.0,6,0,False,85.2,Must
Histology,Anatomy,151,15,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,29,0,False,85.0,Must
Endocrine,Physiology,175,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023,2024,2025",0.938,30,0,False,84.8,Must
Labor & Delivery,OBG,144,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025",0.938,24,0,False,84.8,Must
Enzymology,Biochemistry,122,15,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,15,0,False,84.4,Must
General Surgery,Surgery,117,15,"2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,15,0,False,84.4,Must
Mycology,Microbiology,116,15,"2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,15,0,False,84.4,Must
Metabolic Disorders,Biochemistry,48,15,"2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,6,0,False,84.4,Must
Airway Management,Anaesthesia,73,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.875,4,1,True,84.3,Must
Fractures,Orthopedics,417,15,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,44,0,False,84.2,Must
Genetic Disorders,Pathology,49,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.875,2,1,True,84.2,Must
Public Health,Community Medicine,44,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.875,2,1,True,84.2,Must
Lipid Metabolism,Biochemistry,210,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025",0.938,21,0,False,84.1,Must
Autonomic,Pharmacology,89,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.875,3,1,True,84.1,Must
Antenatal Care,OBG,325,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025",0.938,22,0,False,83.8,Must
Embryology,Anatomy,237,15,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,16,0,False,83.8,Must
Abdomen,Anatomy,157,15,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,11,0,False,83.8,Must
Regional Anaesthesia,Anaesthesia,116,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.875,1,1,True,83.8,Must
Parasitology,Microbiology,215,15,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,12,0,False,83.7,Must
Infertility,OBG,57,15,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025",0.938,3,0,False,83.7,Must
Interventional Radiology,Radiology,293,15,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,15,0,False,83.6,Must
Cornea & Refractive,Ophthalmology,142,15,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,7,0,False,83.6,Must
