year,Anaesthesia,Anatomy,Biochemistry,Community Medicine,Dermatology,ENT,Forensic Medicine,Medicine,Microbiology,OBG,Ophthalmology,Orthopedics,Pathology,Pediatrics,Pharmacology,Physiology,Psychiatry,Radiology,Surgery
2010,4,15,13,22,4,7,8,48,14,25,6,6,22,17,30,14,10,9,23
2011,11,23,17,25,6,5,6,31,28,20,11,5,11,19,33,13,6,9,16
2012,40,164,210,149,27,2,90,87,122,99,91,67,107,78,84,113,44,30,60
2013,48,263,204,191,65,238,148,153,197,98,220,124,170,84,225,153,212,54,88
2014,37,252,191,192,71,74,98,219,260,136,123,78,202,91,227,141,70,63,77
2015,22,284,133,107,50,69,66,148,144,105,92,58,211,52,148,132,65,40,66
2016,20,289,182,133,57,72,51,202,183,161,94,74,181,88,193,106,47,62,73
2017,7,44,24,39,3,4,12,50,32,31,15,7,40,15,30,20,8,21,16
2018,13,98,71,62,14,21,37,131,74,87,40,37,87,53,76,69,26,31,40
2019,24,107,86,100,28,27,56,100,58,64,43,25,53,25,89,64,21,29,34
2020,5,80,42,58,18,15,20,131,62,67,28,27,67,28,51,63,14,21,46
2021,1,26,15,26,9,11,4,24,54,12,27,7,17,3,22,13,9,26,80
2022,5,29,36,28,17,29,31,95,48,79,18,17,53,49,58,21,4,8,46
2023,5,31,35,30,11,11,16,47,31,33,14,15,31,24,28,25,12,11,50
2024,6,157,80,49,16,50,55,105,57,48,34,45,78,23,37,75,22,28,54
2025,5,39,24,20,4,7,7,68,17,19,6,10,32,7,11,17,3,3,15
