subject,question_count,share
Anatomy,1910,0.10332702190965648
Biochemistry,1380,0.07465512577765757
Physiology,1048,0.0566946172572356
Pharmacology,1353,0.07319448201244252
Microbiology,1389,0.07514200703272925
Pathology,1374,0.07433053827427644
Community Medicine,1245,0.06735190695158236
Forensic Medicine,711,0.0384636191506627
Ophthalmology,877,0.04744387341087368
ENT,648,0.03505545036516094
Medicine,1676,0.0906681092777928
Surgery,796,0.04306194211522856
OBG,1106,0.05983229645658642
Pediatrics,667,0.03608331079253449
Anaesthesia,256,0.01384906681092778
Orthopedics,610,0.03299972951041385
Radiology,450,0.024344062753583987
Psychiatry,580,0.03137679199350825
Dermatology,409,0.022126048147146336
